Infinitif;Présent;Prétérit;Parfait;Traduction
unterbrechen;unterbricht;unterbrach;hat unterbrochen;interrompre
unternehmen;unternimmt;unternahm;hat unternommen;entreprendre
verbieten;verbietet;verbot;hat verboten;interdire
verbringen;verbringt;verbrachte;hat verbracht;passer (du temps)
vergessen;vergisst;vergaß;hat vergessen;oublier
verlassen;verlässt;verließ;hat verlassen;quitter
verlieren;verliert;verlor;hat verloren;perdre
vermeiden;vermeidet;vermied;hat vermieden;éviter
verschwinden;verschwindet;verschwand;ist verschwunden;disparaître
verzeihen;verzeiht;verzieh;hat verziehen;pardonner
vorschlagen;schlägt vor;schlug vor;hat vorgeschlagen;proposer
wachsen;wächst;wuchs;ist gewachsen;pousser, grandir
waschen;wäscht;wusch;hat gewaschen;laver
werben;wirbt;warb;hat geworben;faire de la publicité
werden;wird;wurde;ist geworden;devenir
werfen;wirft;warf;hat geworfen;lancer, jeter
wissen;weiß;wusste;hat gewusst;savoir
wollen;will;wollte;hat gewollt;vouloir
zerbrechen;zerbricht;zerbrach;hat zerbrochen;casser (en morceaux)
ziehen;zieht;zog;ist gezogen;tirer (vers soi)
zwingen;zwingt;zwang;hat gezwungen;contraindre, obliger
